number,name,type1,type2,total,hp,attack,defense,sp_atk,sp_def,speed,generation,is_legendary,stat_tier,type1_encoded,has_second_type,hp_scaled,attack_scaled,defense_scaled,sp_atk_scaled,sp_def_scaled,speed_scaled,total_scaled
8,Wartortle,Water,None,405,59,63,80,65,80,58,1,0,Average,17,0,0.2283464566929134,0.31351351351351353,0.30612244897959184,0.29891304347826086,0.2608695652173913,0.2717948717948718,0.24210526315789474
9,Blastoise,Water,None,530,79,83,100,85,105,78,1,0,Strong,17,0,0.30708661417322836,0.42162162162162165,0.3877551020408163,0.4076086956521739,0.3695652173913044,0.37435897435897436,0.37368421052631573
9,Blastoise,Water,None,630,79,103,120,135,115,78,1,0,Uber,17,0,0.30708661417322836,0.5297297297297299,0.46938775510204084,0.6793478260869564,0.41304347826086957,0.37435897435897436,0.47894736842105257
10,Caterpie,Bug,None,195,45,30,35,20,20,45,1,0,Very Weak,0,0,0.1732283464566929,0.13513513513513514,0.12244897959183676,0.05434782608695652,0.0,0.20512820512820515,0.02105263157894738
11,Metapod,Bug,None,205,50,20,55,25,25,30,1,0,Very Weak,0,0,0.19291338582677164,0.08108108108108109,0.20408163265306126,0.08152173913043478,0.021739130434782608,0.12820512820512822,0.03157894736842107
12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,1,0,Weak,0,1,0.23228346456692914,0.21621621621621623,0.1836734693877551,0.43478260869565216,0.2608695652173913,0.3333333333333333,0.23157894736842108
13,Weedle,Bug,Poison,195,40,35,30,20,20,50,1,0,Very Weak,0,1,0.15354330708661418,0.16216216216216217,0.10204081632653061,0.05434782608695652,0.0,0.23076923076923075,0.02105263157894738
14,Kakuna,Bug,Poison,205,45,25,50,25,25,35,1,0,Very Weak,0,1,0.1732283464566929,0.10810810810810811,0.1836734693877551,0.08152173913043478,0.021739130434782608,0.15384615384615385,0.03157894736842107
15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,0,Weak,0,1,0.25196850393700787,0.4594594594594595,0.14285714285714288,0.19021739130434784,0.2608695652173913,0.358974358974359,0.23157894736842108
15,Beedrill,Bug,Poison,495,65,150,40,15,80,145,1,0,Average,0,1,0.25196850393700787,0.7837837837837838,0.14285714285714288,0.027173913043478264,0.2608695652173913,0.717948717948718,0.33684210526315783
16,Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,0,Very Weak,12,1,0.15354330708661418,0.21621621621621623,0.14285714285714288,0.1358695652173913,0.06521739130434784,0.2615384615384615,0.07999999999999999
17,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1,0,Weak,12,1,0.2440944881889764,0.2972972972972973,0.20408163265306126,0.21739130434782608,0.13043478260869565,0.3384615384615384,0.1831578947368421
18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,0,Average,12,1,0.3228346456692913,0.40540540540540543,0.2857142857142857,0.3260869565217391,0.2173913043478261,0.49230769230769234,0.31999999999999995
18,Pidgeot,Normal,Flying,579,83,80,80,135,80,121,1,0,Strong,12,1,0.3228346456692913,0.40540540540540543,0.30612244897959184,0.6793478260869564,0.2608695652173913,0.5948717948717949,0.4252631578947368
19,Rattata,Normal,None,253,30,56,35,25,35,72,1,0,Very Weak,12,0,0.11417322834645668,0.2756756756756757,0.12244897959183676,0.08152173913043478,0.06521739130434784,0.3435897435897436,0.08210526315789476
19,Rattata,Dark,Normal,253,30,56,35,25,35,72,1,0,Very Weak,1,1,0.11417322834645668,0.2756756756756757,0.12244897959183676,0.08152173913043478,0.06521739130434784,0.3435897435897436,0.08210526315789476
20,Raticate,Normal,None,413,55,81,60,50,70,97,1,0,Average,12,0,0.2125984251968504,0.41081081081081083,0.22448979591836737,0.21739130434782608,0.2173913043478261,0.4717948717948718,0.2505263157894737
20,Raticate,Dark,Normal,413,75,71,70,40,80,77,1,0,Average,1,1,0.29133858267716534,0.3567567567567568,0.2653061224489796,0.16304347826086957,0.2608695652173913,0.3692307692307692,0.2505263157894737
21,Spearow,Normal,Flying,262,40,60,30,31,31,70,1,0,Very Weak,12,1,0.15354330708661418,0.2972972972972973,0.10204081632653061,0.1141304347826087,0.04782608695652174,0.3333333333333333,0.09157894736842107
22,Fearow,Normal,Flying,442,65,90,65,61,61,100,1,0,Average,12,1,0.25196850393700787,0.4594594594594595,0.2448979591836735,0.2771739130434782,0.17826086956521742,0.4871794871794871,0.28105263157894733
23,Ekans,Poison,None,288,35,60,44,40,54,55,1,0,Very Weak,13,0,0.13385826771653545,0.2972972972972973,0.15918367346938778,0.16304347826086957,0.14782608695652175,0.2564102564102564,0.11894736842105261
24,Arbok,Poison,None,448,60,95,69,65,79,80,1,0,Average,13,0,0.23228346456692914,0.48648648648648657,0.2612244897959184,0.29891304347826086,0.2565217391304348,0.3846153846153846,0.2873684210526316
25,Pikachu,Electric,None,320,35,55,40,50,50,90,1,0,Weak,3,0,0.13385826771653545,0.2702702702702703,0.14285714285714288,0.21739130434782608,0.13043478260869565,0.4358974358974359,0.15263157894736842
25,Pikachu,Electric,None,430,45,80,50,75,60,120,1,0,Average,3,0,0.1732283464566929,0.40540540540540543,0.1836734693877551,0.35326086956521735,0.17391304347826086,0.5897435897435898,0.2684210526315789
26,Raichu,Electric,None,485,60,90,55,90,80,110,1,0,Average,3,0,0.23228346456692914,0.4594594594594595,0.20408163265306126,0.43478260869565216,0.2608695652173913,0.5384615384615384,0.3263157894736842
26,Raichu,Electric,Psychic,485,60,85,50,95,85,110,1,0,Average,3,1,0.23228346456692914,0.43243243243243246,0.1836734693877551,0.4619565217391304,0.28260869565217395,0.5384615384615384,0.3263157894736842
27,Sandshrew,Ground,None,300,50,75,85,20,30,40,1,0,Weak,10,0,0.19291338582677164,0.3783783783783784,0.326530612244898,0.05434782608695652,0.043478260869565216,0.1794871794871795,0.13157894736842105
27,Sandshrew,Ice,Steel,300,50,75,90,10,35,40,1,0,Weak,11,1,0.19291338582677164,0.3783783783783784,0.3469387755102041,0.0,0.06521739130434784,0.1794871794871795,0.13157894736842105
28,Sandslash,Ground,None,450,75,100,110,45,55,65,1,0,Average,10,0,0.29133858267716534,0.5135135135135136,0.4285714285714286,0.19021739130434784,0.15217391304347827,0.30769230769230765,0.2894736842105263
28,Sandslash,Ice,Steel,450,75,100,120,25,65,65,1,0,Average,11,1,0.29133858267716534,0.5135135135135136,0.46938775510204084,0.08152173913043478,0.19565217391304346,0.30769230769230765,0.2894736842105263
29,Nidoran♀,Poison,None,275,55,47,52,40,40,41,1,0,Very Weak,13,0,0.2125984251968504,0.22702702702702704,0.19183673469387758,0.16304347826086957,0.08695652173913043,0.18461538461538463,0.10526315789473686
30,Nidorina,Poison,None,365,70,62,67,55,55,56,1,0,Weak,13,0,0.27165354330708663,0.3081081081081081,0.2530612244897959,0.24456521739130435,0.15217391304347827,0.2615384615384615,0.19999999999999998
31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1,0,Strong,13,1,0.35039370078740156,0.4702702702702703,0.3346938775510204,0.35326086956521735,0.28260869565217395,0.3641025641025641,0.34736842105263155
32,Nidoran♂,Poison,None,273,46,57,40,40,40,50,1,0,Very Weak,13,0,0.17716535433070868,0.2810810810810811,0.14285714285714288,0.16304347826086957,0.08695652173913043,0.23076923076923075,0.10315789473684209
33,Nidorino,Poison,None,365,61,72,57,55,55,65,1,0,Weak,13,0,0.23622047244094488,0.3621621621621622,0.2122448979591837,0.24456521739130435,0.15217391304347827,0.30769230769230765,0.19999999999999998
34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,1,0,Strong,13,1,0.31496062992125984,0.5243243243243243,0.2938775510204082,0.4076086956521739,0.2391304347826087,0.41025641025641024,0.34736842105263155
35,Clefairy,Fairy,None,323,70,45,48,60,65,35,1,0,Weak,4,0,0.27165354330708663,0.21621621621621623,0.17551020408163268,0.2717391304347826,0.19565217391304346,0.15384615384615385,0.1557894736842105
36,Clefable,Fairy,None,483,95,70,73,95,90,60,1,0,Average,4,0,0.3700787401574803,0.35135135135135137,0.27755102040816326,0.4619565217391304,0.30434782608695654,0.28205128205128205,0.3242105263157894
37,Vulpix,Fire,None,299,38,41,40,50,65,65,1,0,Very Weak,6,0,0.1456692913385827,0.1945945945945946,0.14285714285714288,0.21739130434782608,0.19565217391304346,0.30769230769230765,0.13052631578947368
37,Vulpix,Ice,None,299,38,41,40,50,65,65,1,0,Very Weak,11,0,0.1456692913385827,0.1945945945945946,0.14285714285714288,0.21739130434782608,0.19565217391304346,0.30769230769230765,0.13052631578947368
38,Ninetales,Fire,None,505,73,76,75,81,100,100,1,0,Strong,6,0,0.28346456692913385,0.3837837837837838,0.2857142857142857,0.3858695652173913,0.34782608695652173,0.4871794871794871,0.34736842105263155
38,Ninetales,Ice,Fairy,505,73,67,75,81,100,109,1,0,Strong,11,1,0.28346456692913385,0.33513513513513515,0.2857142857142857,0.3858695652173913,0.34782608695652173,0.5333333333333333,0.34736842105263155
39,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,0,Very Weak,12,1,0.44881889763779526,0.21621621621621623,0.06122448979591837,0.19021739130434784,0.021739130434782608,0.07692307692307693,0.1
40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,0,Average,12,1,0.547244094488189,0.35135135135135137,0.163265306122449,0.4076086956521739,0.13043478260869565,0.20512820512820515,0.27368421052631575
41,Zubat,Poison,Flying,245,40,45,35,30,40,55,1,0,Very Weak,13,1,0.15354330708661418,0.21621621621621623,0.12244897959183676,0.10869565217391305,0.08695652173913043,0.2564102564102564,0.07368421052631577
42,Golbat,Poison,Flying,455,75,80,70,65,75,90,1,0,Average,13,1,0.29133858267716534,0.40540540540540543,0.2653061224489796,0.29891304347826086,0.2391304347826087,0.4358974358974359,0.2947368421052632
43,Oddish,Grass,Poison,320,45,50,55,75,65,30,1,0,Weak,9,1,0.1732283464566929,0.24324324324324326,0.20408163265306126,0.35326086956521735,0.19565217391304346,0.12820512820512822,0.15263157894736842
44,Gloom,Grass,Poison,395,60,65,70,85,75,40,1,0,Weak,9,1,0.23228346456692914,0.32432432432432434,0.2653061224489796,0.4076086956521739,0.2391304347826087,0.1794871794871795,0.23157894736842108
45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,0,Average,9,1,0.29133858267716534,0.40540540540540543,0.326530612244898,0.5434782608695652,0.30434782608695654,0.23076923076923075,0.331578947368421
46,Paras,Bug,Grass,285,35,70,55,45,55,25,1,0,Very Weak,0,1,0.13385826771653545,0.35135135135135137,0.20408163265306126,0.19021739130434784,0.15217391304347827,0.10256410256410256,0.11578947368421053
47,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,0,Average,0,1,0.23228346456692914,0.48648648648648657,0.30612244897959184,0.2717391304347826,0.2608695652173913,0.12820512820512822,0.24210526315789474
48,Venonat,Bug,Poison,305,60,55,50,40,55,45,1,0,Weak,0,1,0.23228346456692914,0.2702702702702703,0.1836734693877551,0.16304347826086957,0.15217391304347827,0.20512820512820515,0.1368421052631579
49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,0,Average,0,1,0.27165354330708663,0.32432432432432434,0.22448979591836737,0.43478260869565216,0.2391304347826087,0.4358974358974359,0.2894736842105263
50,Diglett,Ground,None,265,10,55,25,35,45,95,1,0,Very Weak,10,0,0.03543307086614173,0.2702702702702703,0.0816326530612245,0.1358695652173913,0.10869565217391305,0.4615384615384615,0.09473684210526315
50,Diglett,Ground,Steel,265,10,55,30,35,45,90,1,0,Very Weak,10,1,0.03543307086614173,0.2702702702702703,0.10204081632653061,0.1358695652173913,0.10869565217391305,0.4358974358974359,0.09473684210526315
51,Dugtrio,Ground,None,425,35,100,50,50,70,120,1,0,Average,10,0,0.13385826771653545,0.5135135135135136,0.1836734693877551,0.21739130434782608,0.2173913043478261,0.5897435897435898,0.26315789473684215
51,Dugtrio,Ground,Steel,425,35,100,60,50,70,110,1,0,Average,10,1,0.13385826771653545,0.5135135135135136,0.22448979591836737,0.21739130434782608,0.2173913043478261,0.5384615384615384,0.26315789473684215
52,Meowth,Normal,None,290,40,45,35,40,40,90,1,0,Very Weak,12,0,0.15354330708661418,0.21621621621621623,0.12244897959183676,0.16304347826086957,0.08695652173913043,0.4358974358974359,0.12105263157894738
52,Meowth,Dark,None,290,40,35,35,50,40,90,1,0,Very Weak,1,0,0.15354330708661418,0.16216216216216217,0.12244897959183676,0.21739130434782608,0.08695652173913043,0.4358974358974359,0.12105263157894738
52,Meowth,Steel,None,290,50,65,55,40,40,40,1,0,Very Weak,16,0,0.19291338582677164,0.32432432432432434,0.20408163265306126,0.16304347826086957,0.08695652173913043,0.1794871794871795,0.12105263157894738
53,Persian,Normal,None,440,65,70,60,65,65,115,1,0,Average,12,0,0.25196850393700787,0.35135135135135137,0.22448979591836737,0.29891304347826086,0.19565217391304346,0.5641025641025641,0.2789473684210526
53,Persian,Dark,None,440,65,60,60,75,65,115,1,0,Average,1,0,0.25196850393700787,0.2972972972972973,0.22448979591836737,0.35326086956521735,0.19565217391304346,0.5641025641025641,0.2789473684210526
54,Psyduck,Water,None,320,50,52,48,65,50,55,1,0,Weak,17,0,0.19291338582677164,0.25405405405405407,0.17551020408163268,0.29891304347826086,0.13043478260869565,0.2564102564102564,0.15263157894736842
55,Golduck,Water,None,500,80,82,78,95,80,85,1,0,Strong,17,0,0.3110236220472441,0.41621621621621624,0.2979591836734694,0.4619565217391304,0.2608695652173913,0.41025641025641024,0.3421052631578947
56,Mankey,Fighting,None,305,40,80,35,35,45,70,1,0,Weak,5,0,0.15354330708661418,0.40540540540540543,0.12244897959183676,0.1358695652173913,0.10869565217391305,0.3333333333333333,0.1368421052631579
57,Primeape,Fighting,None,455,65,105,60,60,70,95,1,0,Average,5,0,0.25196850393700787,0.5405405405405406,0.22448979591836737,0.2717391304347826,0.2173913043478261,0.4615384615384615,0.2947368421052632
58,Growlithe,Fire,None,350,55,70,45,70,50,60,1,0,Weak,6,0,0.2125984251968504,0.35135135135135137,0.163265306122449,0.3260869565217391,0.13043478260869565,0.28205128205128205,0.18421052631578946
58,Growlithe,Fire,Rock,350,60,75,45,65,50,55,1,0,Weak,6,1,0.23228346456692914,0.3783783783783784,0.163265306122449,0.29891304347826086,0.13043478260869565,0.2564102564102564,0.18421052631578946
59,Arcanine,Fire,None,555,90,110,80,100,80,95,1,0,Strong,6,0,0.35039370078740156,0.5675675675675675,0.30612244897959184,0.48913043478260865,0.2608695652173913,0.4615384615384615,0.4
59,Arcanine,Fire,Rock,555,95,115,80,95,80,90,1,0,Strong,6,1,0.3700787401574803,0.5945945945945947,0.30612244897959184,0.4619565217391304,0.2608695652173913,0.4358974358974359,0.4
60,Poliwag,Water,None,300,40,50,40,40,40,90,1,0,Weak,17,0,0.15354330708661418,0.24324324324324326,0.14285714285714288,0.16304347826086957,0.08695652173913043,0.4358974358974359,0.13157894736842105
61,Poliwhirl,Water,None,385,65,65,65,50,50,90,1,0,Weak,17,0,0.25196850393700787,0.32432432432432434,0.2448979591836735,0.21739130434782608,0.13043478260869565,0.4358974358974359,0.22105263157894736
62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,0,Strong,17,1,0.35039370078740156,0.48648648648648657,0.3673469387755102,0.3260869565217391,0.30434782608695654,0.3333333333333333,0.3526315789473684
63,Abra,Psychic,None,310,25,20,15,105,55,90,1,0,Weak,14,0,0.09448818897637795,0.08108108108108109,0.04081632653061225,0.5163043478260869,0.15217391304347827,0.4358974358974359,0.14210526315789476
64,Kadabra,Psychic,None,400,40,35,30,120,70,105,1,0,Average,14,0,0.15354330708661418,0.16216216216216217,0.10204081632653061,0.5978260869565217,0.2173913043478261,0.5128205128205128,0.23684210526315788
65,Alakazam,Psychic,None,500,55,50,45,135,95,120,1,0,Strong,14,0,0.2125984251968504,0.24324324324324326,0.163265306122449,0.6793478260869564,0.32608695652173914,0.5897435897435898,0.3421052631578947
65,Alakazam,Psychic,None,600,55,50,65,175,105,150,1,0,Uber,14,0,0.2125984251968504,0.24324324324324326,0.2448979591836735,0.8967391304347826,0.3695652173913044,0.7435897435897436,0.4473684210526315
66,Machop,Fighting,None,305,70,80,50,35,35,35,1,0,Weak,5,0,0.27165354330708663,0.40540540540540543,0.1836734693877551,0.1358695652173913,0.06521739130434784,0.15384615384615385,0.1368421052631579
67,Machoke,Fighting,None,405,80,100,70,50,60,45,1,0,Average,5,0,0.3110236220472441,0.5135135135135136,0.2653061224489796,0.21739130434782608,0.17391304347826086,0.20512820512820515,0.24210526315789474
68,Machamp,Fighting,None,505,90,130,80,65,85,55,1,0,Strong,5,0,0.35039370078740156,0.6756756756756757,0.30612244897959184,0.29891304347826086,0.28260869565217395,0.2564102564102564,0.34736842105263155
69,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,1,0,Weak,9,1,0.19291338582677164,0.3783783783783784,0.12244897959183676,0.3260869565217391,0.043478260869565216,0.1794871794871795,0.13157894736842105
70,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,1,0,Weak,9,1,0.25196850393700787,0.4594594594594595,0.1836734693877551,0.4076086956521739,0.10869565217391305,0.2564102564102564,0.22631578947368422
71,Victreebel,Grass,Poison,490,80,105,65,100,70,70,1,0,Average,9,1,0.3110236220472441,0.5405405405405406,0.2448979591836735,0.48913043478260865,0.2173913043478261,0.3333333333333333,0.331578947368421
71,Victreebel,Grass,Poison,590,80,125,85,135,95,70,1,0,Strong,9,1,0.3110236220472441,0.6486486486486487,0.326530612244898,0.6793478260869564,0.32608695652173914,0.3333333333333333,0.4368421052631578
72,Tentacool,Water,Poison,335,40,40,35,50,100,70,1,0,Weak,17,1,0.15354330708661418,0.1891891891891892,0.12244897959183676,0.21739130434782608,0.34782608695652173,0.3333333333333333,0.16842105263157894
73,Tentacruel,Water,Poison,515,80,70,65,80,120,100,1,0,Strong,17,1,0.3110236220472441,0.35135135135135137,0.2448979591836735,0.3804347826086956,0.43478260869565216,0.4871794871794871,0.35789473684210527
74,Geodude,Rock,Ground,300,40,80,100,30,30,20,1,0,Weak,15,1,0.15354330708661418,0.40540540540540543,0.3877551020408163,0.10869565217391305,0.043478260869565216,0.07692307692307693,0.13157894736842105
74,Geodude,Rock,Electric,300,40,80,100,30,30,20,1,0,Weak,15,1,0.15354330708661418,0.40540540540540543,0.3877551020408163,0.10869565217391305,0.043478260869565216,0.07692307692307693,0.13157894736842105
75,Graveler,Rock,Ground,390,55,95,115,45,45,35,1,0,Weak,15,1,0.2125984251968504,0.48648648648648657,0.4489795918367347,0.19021739130434784,0.10869565217391305,0.15384615384615385,0.22631578947368422
75,Graveler,Rock,Electric,390,55,95,115,45,45,35,1,0,Weak,15,1,0.2125984251968504,0.48648648648648657,0.4489795918367347,0.19021739130434784,0.10869565217391305,0.15384615384615385,0.22631578947368422
76,Golem,Rock,Ground,495,80,120,130,55,65,45,1,0,Average,15,1,0.3110236220472441,0.6216216216216217,0.5102040816326531,0.24456521739130435,0.19565217391304346,0.20512820512820515,0.33684210526315783
76,Golem,Rock,Electric,495,80,120,130,55,65,45,1,0,Average,15,1,0.3110236220472441,0.6216216216216217,0.5102040816326531,0.24456521739130435,0.19565217391304346,0.20512820512820515,0.33684210526315783
77,Ponyta,Fire,None,410,50,85,55,65,65,90,1,0,Average,6,0,0.19291338582677164,0.43243243243243246,0.20408163265306126,0.29891304347826086,0.19565217391304346,0.4358974358974359,0.2473684210526316
77,Ponyta,Psychic,None,410,50,85,55,65,65,90,1,0,Average,14,0,0.19291338582677164,0.43243243243243246,0.20408163265306126,0.29891304347826086,0.19565217391304346,0.4358974358974359,0.2473684210526316
78,Rapidash,Fire,None,500,65,100,70,80,80,105,1,0,Strong,6,0,0.25196850393700787,0.5135135135135136,0.2653061224489796,0.3804347826086956,0.2608695652173913,0.5128205128205128,0.3421052631578947
78,Rapidash,Psychic,Fairy,500,65,100,70,80,80,105,1,0,Strong,14,1,0.25196850393700787,0.5135135135135136,0.2653061224489796,0.3804347826086956,0.2608695652173913,0.5128205128205128,0.3421052631578947
79,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,0,Weak,17,1,0.35039370078740156,0.32432432432432434,0.2448979591836735,0.16304347826086957,0.08695652173913043,0.05128205128205129,0.14736842105263157
79,Slowpoke,Psychic,None,315,90,65,65,40,40,15,1,0,Weak,14,0,0.35039370078740156,0.32432432432432434,0.2448979591836735,0.16304347826086957,0.08695652173913043,0.05128205128205129,0.14736842105263157
80,Slowbro,Water,Psychic,490,95,75,110,100,80,30,1,0,Average,17,1,0.3700787401574803,0.3783783783783784,0.4285714285714286,0.48913043478260865,0.2608695652173913,0.12820512820512822,0.331578947368421
80,Slowbro,Water,Psychic,590,95,75,180,130,80,30,1,0,Strong,17,1,0.3700787401574803,0.3783783783783784,0.7142857142857143,0.6521739130434783,0.2608695652173913,0.12820512820512822,0.4368421052631578
80,Slowbro,Poison,Psychic,490,95,100,95,100,70,30,1,0,Average,13,1,0.3700787401574803,0.5135135135135136,0.3673469387755102,0.48913043478260865,0.2173913043478261,0.12820512820512822,0.331578947368421
81,Magnemite,Electric,Steel,325,25,35,70,95,55,45,1,0,Weak,3,1,0.09448818897637795,0.16216216216216217,0.2653061224489796,0.4619565217391304,0.15217391304347827,0.20512820512820515,0.15789473684210528
82,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,0,Average,3,1,0.19291338582677164,0.2972972972972973,0.3673469387755102,0.5978260869565217,0.2173913043478261,0.3333333333333333,0.3052631578947368
83,Farfetch'd,Normal,Flying,377,52,90,55,58,62,60,1,0,Weak,12,1,0.20078740157480315,0.4594594594594595,0.20408163265306126,0.2608695652173913,0.1826086956521739,0.28205128205128205,0.21263157894736842
83,Farfetch'd,Fighting,None,377,52,95,55,58,62,55,1,0,Weak,5,0,0.20078740157480315,0.48648648648648657,0.20408163265306126,0.2608695652173913,0.1826086956521739,0.2564102564102564,0.21263157894736842
84,Doduo,Normal,Flying,310,35,85,45,35,35,75,1,0,Weak,12,1,0.13385826771653545,0.43243243243243246,0.163265306122449,0.1358695652173913,0.06521739130434784,0.358974358974359,0.14210526315789476
85,Dodrio,Normal,Flying,470,60,110,70,60,60,110,1,0,Average,12,1,0.23228346456692914,0.5675675675675675,0.2653061224489796,0.2717391304347826,0.17391304347826086,0.5384615384615384,0.31052631578947365
86,Seel,Water,None,325,65,45,55,45,70,45,1,0,Weak,17,0,0.25196850393700787,0.21621621621621623,0.20408163265306126,0.19021739130434784,0.2173913043478261,0.20512820512820515,0.15789473684210528
87,Dewgong,Water,Ice,475,90,70,80,70,95,70,1,0,Average,17,1,0.35039370078740156,0.35135135135135137,0.30612244897959184,0.3260869565217391,0.32608695652173914,0.3333333333333333,0.3157894736842105
88,Grimer,Poison,None,325,80,80,50,40,50,25,1,0,Weak,13,0,0.3110236220472441,0.40540540540540543,0.1836734693877551,0.16304347826086957,0.13043478260869565,0.10256410256410256,0.15789473684210528
88,Grimer,Poison,Dark,325,80,80,50,40,50,25,1,0,Weak,13,1,0.3110236220472441,0.40540540540540543,0.1836734693877551,0.16304347826086957,0.13043478260869565,0.10256410256410256,0.15789473684210528
89,Muk,Poison,None,500,105,105,75,65,100,50,1,0,Strong,13,0,0.4094488188976378,0.5405405405405406,0.2857142857142857,0.29891304347826086,0.34782608695652173,0.23076923076923075,0.3421052631578947
89,Muk,Poison,Dark,500,105,105,75,65,100,50,1,0,Strong,13,1,0.4094488188976378,0.5405405405405406,0.2857142857142857,0.29891304347826086,0.34782608695652173,0.23076923076923075,0.3421052631578947
90,Shellder,Water,None,305,30,65,100,45,25,40,1,0,Weak,17,0,0.11417322834645668,0.32432432432432434,0.3877551020408163,0.19021739130434784,0.021739130434782608,0.1794871794871795,0.1368421052631579
91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,0,Strong,17,1,0.19291338582677164,0.48648648648648657,0.7142857142857143,0.4076086956521739,0.10869565217391305,0.3333333333333333,0.36842105263157887
92,Gastly,Ghost,Poison,310,30,35,30,100,35,80,1,0,Weak,8,1,0.11417322834645668,0.16216216216216217,0.10204081632653061,0.48913043478260865,0.06521739130434784,0.3846153846153846,0.14210526315789476
93,Haunter,Ghost,Poison,405,45,50,45,115,55,95,1,0,Average,8,1,0.1732283464566929,0.24324324324324326,0.163265306122449,0.5706521739130435,0.15217391304347827,0.4615384615384615,0.24210526315789474
94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,0,Strong,8,1,0.23228346456692914,0.32432432432432434,0.22448979591836737,0.6521739130434783,0.2391304347826087,0.5384615384615384,0.3421052631578947
94,Gengar,Ghost,Poison,600,60,65,80,170,95,130,1,0,Uber,8,1,0.23228346456692914,0.32432432432432434,0.30612244897959184,0.8695652173913043,0.32608695652173914,0.641025641025641,0.4473684210526315
95,Onix,Rock,Ground,385,35,45,160,30,45,70,1,0,Weak,15,1,0.13385826771653545,0.21621621621621623,0.6326530612244898,0.10869565217391305,0.10869565217391305,0.3333333333333333,0.22105263157894736
96,Drowzee,Psychic,None,328,60,48,45,43,90,42,1,0,Weak,14,0,0.23228346456692914,0.23243243243243245,0.163265306122449,0.1793478260869565,0.30434782608695654,0.18974358974358976,0.16105263157894736
97,Hypno,Psychic,None,483,85,73,70,73,115,67,1,0,Average,14,0,0.33070866141732286,0.3675675675675676,0.2653061224489796,0.34239130434782605,0.41304347826086957,0.31794871794871793,0.3242105263157894
